Documents Numbers:	deep learning	machine learning	data	research	data mining	mining	analytics
1	0.05474379373602019	0.8958075338621485	0.421183017396983	0.08192282972434965	0.09953417042912761	0.017191143567223795	0.014930125564369142
2	0.0	0.0	0.16870137635787635	0.8770156928718833	0.0	0.44987033695433687	0.0
3	0.0	0.0	0.0	1.0	0.0	0.0	0.0
4	0.010984064704219428	0.1592689382111817	0.588108345757232	0.05753090174467122	0.7798685939995794	0.12331304023941962	0.04393625881687771
5	0.010984064704219428	0.1592689382111817	0.588108345757232	0.05753090174467122	0.7798685939995794	0.12331304023941962	0.04393625881687771
6	0.032652544912531424	0.2612203593002514	0.8882396581848582	0.2687508084312304	0.032652544912531424	0.014099042193410447	0.2612203593002514
